,4scRNA control,CRISPRa-PP_1075,CRISPRa-PP_1830,CRISPRa-PP_2168,CRISPRa-PP_2329,CRISPRa-PP_4169,CRISPRa-PP_4965,CRISPRa-PP_5079,CRISPRi-PP_0059,CRISPRi-PP_0289,CRISPRi-PP_0417,CRISPRi-PP_0420,CRISPRi-PP_0966,CRISPRi-PP_1025,CRISPRi-PP_1032,CRISPRi-PP_1037,CRISPRi-PP_1237,CRISPRi-PP_1525,CRISPRi-PP_1530,CRISPRi-PP_1665,CRISPRi-PP_1914,CRISPRi-PP_1917,CRISPRi-PP_1988,CRISPRi-PP_1989,CRISPRi-PP_1992,CRISPRi-PP_2000,CRISPRi-PP_2082,CRISPRi-PP_2554,CRISPRi-PP_2639,CRISPRi-PP_3569,CRISPRi-PP_4016,CRISPRi-PP_4297,CRISPRi-PP_4678,CRISPRi-PP_4725,CRISPRi-PP_4822,CRISPRi-PP_4823,CRISPRi-PP_5015,CRISPRi-PP_5128,CRISPRi-PP_5155,CRISPRi-PP_5336-5335,pACA production 3 scRNA positive control
3HAD160,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747,0.010419280736685747
1PQQS,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05
2PQQS,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05
3HAACOAT140,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272974,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272974,-0.01066740055027298,-0.010667400550272974,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984,-0.010667400550272974,-0.010667400550272984,-0.010667400550272984,-0.010667400550272974,-0.010667400550272984,-0.010667400550272984,-0.010667400550272984
3HAACOAT141,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.01066740055027298,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272984
3HAD100,0.07773739712519696,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519696,0.07773739712519698,0.07773739712519695,0.07773739712519698,0.07773739712519695,0.07773739712519698,0.07773739712519698,0.07773739712519696,0.07773739712519698,0.07773739712519696,0.07773739712519695,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519698,0.07773739712519695,0.07773739712519696,0.07773739712519698,0.07773739712519695,0.07773739712519696,0.07773739712519698,0.07773739712519698,0.07773739712519698
3HAD120,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794,0.00507682329165794
3HAD121,0.06758375054188108,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.06758375054188108,0.0675837505418811,0.06758375054188107,0.0675837505418811,0.06758375054188107,0.0675837505418811,0.0675837505418811,0.06758375054188108,0.0675837505418811,0.06758375054188108,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.0675837505418811,0.06758375054188107,0.06758375054188108,0.0675837505418811,0.06758375054188107,0.06758375054188108,0.0675837505418811,0.0675837505418811,0.0675837505418811
3HAD140,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.01066740055027298,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272974,0.010667400550272984,0.010667400550272984,0.010667400550272984
3HAD141,0.0569163499916081,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.056916349991608085,0.05691634999160811,0.056916349991608085,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.056916349991608085,0.05691634999160811,0.05691634999160811,0.056916349991608085,0.05691634999160811,0.05691634999160811,0.05691634999160811,0.05691634999160811
